# data = all 7 columns 
# fitting: opt_exact_standard 
n_nodes,optimizer,activation,mse
50,adadelta,ReLu,17.351802519989015
50,adadelta,tanh,40.48430199584961
50,adadelta,sigmoid,10.444162727355957
50,adadelta,elu,22.57607468109131
50,adadelta,selu,14.508916136932372
50,adadelta,softplus,20.02530037384033
50,adadelta,softsign,15.326917545318604
50,adadelta,PReLu,10.480086561584473
50,adagrad,ReLu,88.85486739807129
50,adagrad,tanh,93.97730997009278
50,adagrad,sigmoid,143.2090361328125
50,adagrad,elu,82.61286530456543
50,adagrad,selu,81.16239233398437
50,adagrad,softplus,81.73710478515625
50,adagrad,softsign,116.83758325500489
50,adagrad,PReLu,77.94091701965333
50,adam,ReLu,9.29235096435547
50,adam,tanh,12.617152699661254
50,adam,sigmoid,2.925634655857086
50,adam,elu,8.509717023468017
50,adam,selu,6.985887545776367
50,adam,softplus,5.5313481449127195
50,adam,softsign,3.1097355716705324
50,adam,PReLu,5.627056784439087
50,adamax,ReLu,18.24592968902588
50,adamax,tanh,7.73567250995636
50,adamax,sigmoid,5.768250141525269
50,adamax,elu,6.487913286209106
50,adamax,selu,7.52414133682251
50,adamax,softplus,12.708259566497803
50,adamax,softsign,2.909824094867706
50,adamax,PReLu,6.861803098678589
50,nadam,ReLu,7.599740986633301
50,nadam,tanh,32.31468249816894
50,nadam,sigmoid,5.627335805130005
50,nadam,elu,4.7550276752471925
50,nadam,selu,4.126856475448609
50,nadam,softplus,5.769219380187988
50,nadam,softsign,4.094847231674194
50,nadam,PReLu,9.483200931549073
100,adadelta,ReLu,9.49991096496582
100,adadelta,tanh,25.312523321533202
100,adadelta,sigmoid,17.480104204559325
100,adadelta,elu,6.172127268409729
100,adadelta,selu,8.500040320587159
100,adadelta,softplus,9.644410063934327
100,adadelta,softsign,10.345872384262085
100,adadelta,PReLu,4.5658476480484005
100,adagrad,ReLu,83.61229256896972
100,adagrad,tanh,61.59969577331543
100,adagrad,sigmoid,76.35149285278321
100,adagrad,elu,77.40015981445312
100,adagrad,selu,78.41920414123535
100,adagrad,softplus,77.48908475036622
100,adagrad,softsign,67.19542247161866
100,adagrad,PReLu,74.55604053192138
100,adam,ReLu,5.001658661460876
100,adam,tanh,6.926191543197632
100,adam,sigmoid,1.879669774532318
100,adam,elu,7.5045779621124264
100,adam,selu,3.301090272331238
100,adam,softplus,3.1768061327934265
100,adam,softsign,1.8293202881813049
100,adam,PReLu,4.4937001182556155
100,adamax,ReLu,6.0552711734771725
100,adamax,tanh,1.8979049233436585
100,adamax,sigmoid,3.608046737098694
100,adamax,elu,4.399912452507019
100,adamax,selu,5.836207081222534
100,adamax,softplus,6.370244536209106
100,adamax,softsign,2.860033880329132
100,adamax,PReLu,4.814782358360291
100,nadam,ReLu,5.458572231292725
100,nadam,tanh,20.25368843688965
100,nadam,sigmoid,1.861050444793701
100,nadam,elu,2.787395685482025
100,nadam,selu,2.1270226378440857
100,nadam,softplus,2.3982497824668885
100,nadam,softsign,1.904504427909851
100,nadam,PReLu,2.996504218292236
150,adadelta,ReLu,21.611302488708496
150,adadelta,tanh,3.38036683216095
150,adadelta,sigmoid,8.225902941894532
150,adadelta,elu,6.161610713577271
150,adadelta,selu,9.173549286651612
150,adadelta,softplus,17.569063693237304
150,adadelta,softsign,15.750619198608398
150,adadelta,PReLu,8.963997790527344
150,adagrad,ReLu,80.68863131408692
150,adagrad,tanh,50.623200994873045
150,adagrad,sigmoid,70.90407374572754
150,adagrad,elu,76.49784187011718
150,adagrad,selu,75.33361162109375
150,adagrad,softplus,77.01491403808593
150,adagrad,softsign,58.24022310180664
150,adagrad,PReLu,72.28522781677246
150,adam,ReLu,1.8734555296897888
150,adam,tanh,3.3966517899513247
150,adam,sigmoid,3.6458865886688234
150,adam,elu,5.249722981262207
150,adam,selu,2.9110182332992554
150,adam,softplus,3.068956033039093
150,adam,softsign,2.253045836830139
150,adam,PReLu,3.316085012817383
150,adamax,ReLu,3.9650512014389037
150,adamax,tanh,2.6858404344558715
150,adamax,sigmoid,3.707544795227051
150,adamax,elu,16.22384475402832
150,adamax,selu,4.460404813957214
150,adamax,softplus,10.193994028091431
150,adamax,softsign,4.183967151641846
150,adamax,PReLu,3.80087212600708
150,nadam,ReLu,3.920619305038452
150,nadam,tanh,24.712223027801514
150,nadam,sigmoid,1.4215860640525817
150,nadam,elu,1.2229677270889283
150,nadam,selu,1.696409961414337
150,nadam,softplus,4.969433501815796
150,nadam,softsign,2.33948926486969
150,nadam,PReLu,6.0123270236968995
200,adadelta,ReLu,17.18560935821533
200,adadelta,tanh,10.36246934967041
200,adadelta,sigmoid,9.996542765426636
200,adadelta,elu,21.896923780822753
200,adadelta,selu,6.228586820220947
200,adadelta,softplus,8.803737684631347
200,adadelta,softsign,6.555633027648926
200,adadelta,PReLu,4.9836774211883546
200,adagrad,ReLu,78.90950074157715
200,adagrad,tanh,46.57441632995605
200,adagrad,sigmoid,66.0562280090332
200,adagrad,elu,72.91133923950196
200,adagrad,selu,75.68462609558105
200,adagrad,softplus,75.14110630798339
200,adagrad,softsign,52.53378521575928
200,adagrad,PReLu,60.12642408447265
200,adam,ReLu,2.906814082336426
200,adam,tanh,2.0602616084098817
200,adam,sigmoid,1.4718220735073089
200,adam,elu,2.8329275595664978
200,adam,selu,4.857898233032227
200,adam,softplus,3.149114365673065
200,adam,softsign,3.758435888290405
200,adam,PReLu,4.608301441192627
200,adamax,ReLu,2.4397211905479432
200,adamax,tanh,1.5075358057022095
200,adamax,sigmoid,2.29333178730011
200,adamax,elu,5.272754072380066
200,adamax,selu,3.5493186896324156
200,adamax,softplus,5.172103293609619
200,adamax,softsign,1.9704653133869172
200,adamax,PReLu,2.4687058359146117
200,nadam,ReLu,7.971246195983887
200,nadam,tanh,28.195153009033202
200,nadam,sigmoid,1.2896607084751128
200,nadam,elu,1.7890972019195557
200,nadam,selu,53.07153508300781
200,nadam,softplus,1.6842369082450868
200,nadam,softsign,2.1422160983085634
200,nadam,PReLu,6.5330072799682615
